,annotater_id,table_id,hypothesis,label
0,GW0,T12,Aksel V. Johannesen siège au gouvernement des îles Féroé.,E
1,GW0,T12,Plus de gens dans les îles Féroé parlent danois que d'anglais.,N
2,GW0,T12,Les îles Féroé n'ont qu'une seule langue officielle.,C
3,GW1,T12,Les îles Féroé ont plus d'une langue officielle.,E
4,GW1,T12,"Si le Haut-Commissaire meurt aux îles Féroé, le Premier Ministre assumera ce rôle.",N
5,GW1,T12,Les îles Féroé ont plus d'une religion officielle.,C
6,GW4,T12,Le monarque des îles Féroé est Margethe II.,E
7,GW4,T12,Beaucoup de gens des îles Féroé parlent Fêroé.,N
8,GW4,T12,Les îles Féroé sont dirigées par Lene Moyell Johnansen.,C
9,GW0,T13,« Fearless » dure plus de 50 minutes.,E
10,GW0,T13,Fearless est la deuxième sortie de Taylor Swift.,N
11,GW0,T13,Scott Borchetta a produit le single Fearless.,C
12,GW4,T13,L'album Fearless a été sorti en hiver 2008.,E
13,GW4,T13,Scott Borchetta a travaillé directement sur Fearless.,N
14,GW4,T13,L'album Fearless a une durée de plus d'une heure.,C
15,GW1,T13,L'enregistrement de Fearless s'est écoulé pendant deux ans.,E
16,GW1,T13,Taylor Swift a fait plus de choses sur le plan de la production que Nathan Chapman.,N
17,GW1,T13,« Fearless » a été diffusé au printemps 2008.,C
18,GW1,T14,Flatliners est assez proche de deux heures de longueur.,E
19,GW1,T14,Rick Bieber a investi plus d'argent dans Flatliners que Michael Douglas.,N
20,GW1,T14,Flatliners a fait 50 millions sur son budget au box office.,C
21,GW4,T14,Flatliners était un film qui a réussi à gagner des recettes au box office.,E
22,GW4,T14,Flatliners a été produit principalement par Michael Douglas.,N
23,GW4,T14,Flatliners était un film de plus de deux heures.,C
24,GW0,T14,Flatliners a fait plus du double de ce qu'il coûtait à fabriquer au box office.,E
25,GW0,T14,Flatliners était le premier crédit écrit de Peter Filardi.,N
26,GW0,T14,Flatliners a été diffusé en hiver 1990.,C
27,GW1,T17,« Brice Dallas Howard » joue depuis environ 30 ans.,E
28,GW1,T17,« Brice Dallas Howard » aime Cheryl Alley plus que Ron Howard.,N
29,GW1,T17,Bryce Dallas Howard est né à l'automne 1981.,C
30,GW4,T17,Bryce Dallas Howard est né sur la côte ouest des États-Unis.,E
31,GW4,T17,Bryce Dallas Howard a vécu avec Ron Howard pendant longtemps.,N
32,GW4,T17,« Brice Dallas Howard » travaille depuis 1981.,C
33,GW2,T17,« Brice Dallas Howard » joue depuis plus de 20 ans.,E
34,GW2,T17,Le premier emploi d'acteur de Bryce Dallas Howard a été dans une publicité sur les céréales.,N
35,GW2,T17,Bryce Dallas Howard a trois fils.,C
36,GW4,T20,Les rappers Flatbush Zombies ont commencé sur la côte est.,E
37,GW4,T20,Les rappers Flatbush Zombies ont été signés par un grand label.,N
38,GW4,T20,Les rappers Flatbush Zombies sont connus pour leurs concerts avec des groupes rock.,C
39,GW0,T20,Flatbush Zombies ont fait de la musique depuis plus de cinq ans.,E
40,GW0,T20,Flatbush Zombies ont travaillé avec des rappers à l'extérieur de New York.,N
41,GW0,T20,Flatbush Zombies est signé à RCA Records.,C
42,GW1,T20,"«Flatbush Zombies» sont nommés, en partie, en fonction de la ville d'où ils proviennent.",E
43,GW1,T20,Flatbush Zombies préférait faire de la musique avec RecordsWarner plutôt que The Glorious Dead.,N
44,GW1,T20,Flatbush Zombies sont actifs en tant que bande depuis plus de 10 ans.,C
45,GW1,T29,Bullet for My Valentine était connu sous le nom de Jeff Killed John plus tôt dans le temps.,E
46,GW1,T29,Jeff Killed John a fait le même genre de musique que Bullet for My Valentine.,N
47,GW1,T29,Bullet for My Valentine est en activité depuis plus de 25 ans en tant que groupe.,C
48,GW4,T29,Bullet for My Valentine est une bande qui joue depuis la fin des années 90.,E
49,GW4,T29,La bande Bullet for My Valentine est la plus populaire au Royaume-Uni.,N
50,GW4,T29,Le groupe Bullet for My Valentine est connu pour jouer de la musique pop.,C
51,GW0,T29,Bullet for My Valentine est une bande d'Europe.,E
52,GW0,T29,Bullet for My Valentine est une musique diffusée chaque année depuis 1998.,N
53,GW0,T29,Bullet for My Valentine n'a publié qu'une musique pour RCA.,C
54,GW0,T64,Le portrait de Charles I est situé en Angleterre.,E
55,GW0,T64,Anthony van Dyck a pris plus d'un an pour terminer Le portrait d'équipage de Charles I.,N
56,GW0,T64,Le « Portrait d'équipage de Charles I » est de moins de 100 pouces de largeur.,C
57,GW1,T64,Le « Portrait d'équipage de Charles I » a été peint au XVIIe siècle.,E
58,GW1,T64,Le « Portrait d'équipage de Charles I » est prêté à la National Gallery de Londres.,N
59,GW1,T64,Le côté le plus long du « Portrait d'équipage de Charles I » mesure moins de 11 pieds de longueur.,C
60,GW4,T64,Le « Portrait d'équipage de Charles I » a été réalisé par Anthony van Dyck.,E
61,GW4,T64,Le « Portrait d'équipage de Charles I » a été peint à Londres.,N
62,GW4,T64,Le « Portrait d'équipage de Charles I » est conservé dans un musée à Paris.,C
63,GW4,T68,La bande Jet a été formée en Australie.,E
64,GW4,T68,Les musiciens de Jet n'ont produit aucune musique entre 2012 et 2016.,N
65,GW4,T68,"Après sa rupture en 2012, Jet ne se retrouvait jamais ensemble.",C
66,GW0,T68,Jet a pris une interruption de quatre ans de son exécution.,E
67,GW0,T68,Jet a publié son premier album en 2001.,N
68,GW0,T68,Jet a cessé d'interpréter il y a plus de cinq ans.,C
69,GW1,T68,Jet est une bande depuis plus de 10 ans.,E
70,GW1,T68,Jet se considère comme un rock alternative plus que le rock indie.,N
71,GW1,T68,Jet a fait de la musique pour 5 ou plus compagnies de disques.,C
72,GW1,T74,Katharine McPhee est née sur la côte ouest.,E
73,GW1,T74,Katharine McPhee aime écrire des chansons plus qu'elle ne les exécute.,N
74,GW1,T74,Katharine McPhee est active depuis plus de 20 ans.,C
75,GW0,T74,Katharine McPhee est de la côte ouest des États-Unis.,E
76,GW0,T74,Katharine McPhee écrit toutes les chansons qu'elle exécute.,N
77,GW0,T74,Katharine McPhee joue depuis plus de vingt ans.,C
78,GW4,T74,Katharine McPhee est née sur la côte ouest des États-Unis.,E
79,GW4,T74,Katharine McPhee est connue pour être une chanteuse de R&B.,N
80,GW4,T74,Katharine McPhee a été avec plus de 7 maisons de disques.,C
81,GW0,T104,Le « E Street Band » provient de la côte ouest des États-Unis.,E
82,GW0,T104,La E Street Band compte tous ses membres originaux.,N
83,GW0,T104,La bande E Street est de la capitale de New Jersey.,C
84,GW1,T104,La bande de rue E a été formée sur la côte est.,E
85,GW1,T104,La E Street Band continuera à jouer jusqu'à ce que ses membres meurent.,N
86,GW1,T104,La bande E Street est active depuis plus de 50 ans.,C
87,GW4,T104,La bande « E Street Band » a été formée sur la côte est des États-Unis.,E
88,GW4,T104,Bruce Springsteen a beaucoup travaillé avec la « E Street Band ».,N
89,GW4,T104,La bande « E Street Band » s'est dissoute en 1999.,C
90,GW1,T137,Hawkwind est actif en tant que groupe depuis environ 50 ans.,E
91,GW1,T137,Hawkwind a beaucoup changé de nom en raison de problèmes liés au droit d'auteur.,N
92,GW1,T137,Hawkwind était toujours le nom de la bande.,C
93,GW4,T137,La bande Hawkwind a commencé à faire des chansons en 1969.,E
94,GW4,T137,Le groupe Hawkwind a tourné à l'extérieur de Londres en Angleterre.,N
95,GW4,T137,La bande Hawkwind est connue pour ses concerts avec Motley Crue.,C
96,GW0,T137,Hawkwind joue depuis plus de 40 ans.,E
97,GW0,T137,Hawkwind était connu sous le nom de The Elves of Silbury Hill pendant la majeure partie de leur carrière.,N
98,GW0,T137,Hawkwind est une bande nord-américaine.,C
99,GW4,T146,Jeff Bridges est un interprète depuis qu'ils ont 2 ans.,E
100,GW4,T146,Jeff Bridges a vécu toute sa vie en Californie.,N
101,GW4,T146,Jeff Bridges a cinq enfants.,C
102,GW1,T146,Jeff Bridges est né en hiver 1949.,E
103,GW1,T146,Jeff Bridges préfère chanter plutôt que composer.,N
104,GW1,T146,Jeff Bridges est actif dans sa carrière depuis moins de 60 ans.,C
105,GW12,T146,Jeff Bridges est né en hiver 1949.,E
106,GW12,T146,Jeff Bridges a un frère et une sœur.,N
107,GW12,T146,La mère de Beau Bridges est Susan Geston.,C
108,GW0,T152,Jane Austen a été enterrée dans son pays d'origine.,E
109,GW0,T152,James Austen est le frère le plus âgé de Jane Austen.,N
110,GW0,T152,Jane Austen n'a pas vécu à voir 40 ans.,C
111,GW4,T152,Jane Austen est né en Angleterre.,E
112,GW4,T152,Jane Austen finit par vivre toute sa vie en Angleterre.,N
113,GW4,T152,Jane Austen est décédée à 45 ans.,C
114,GW1,T152,Jane Austen est décédée au cours de l'été 1817.,E
115,GW1,T152,Jane Austen a aimé James Austen plus que George Austen.,N
116,GW1,T152,Jane Austen avait un diplôme collégial.,C
117,GW1,T154,Charlie Sheen est né à l'automne 1965.,E
118,GW1,T154,Charlie Sheen n'aime pas son nom de naissance original.,N
119,GW1,T154,Charlie Sheen joue depuis plus de 50 ans.,C
120,GW4,T154,Charlie Sheen a cinq enfants.,E
121,GW4,T154,Charlie Sheen travaille depuis les années 70.,N
122,GW4,T154,Charlie Sheen est encore mariée à Brooke Mueller.,C
123,GW0,T154,Charlie Sheen n'utilise pas son nom de famille original.,E
124,GW0,T154,Charlie Sheen est la plus âgée de la famille Estevez.,N
125,GW0,T154,Charlie Sheen a divorcé quatre fois.,C
126,GW4,T203,La capitale du Japon est située à Tokyo.,E
127,GW4,T203,Le gouvernement japonais a une constitution.,N
128,GW4,T203,La majorité des gens qui vivent au Japon sont d'origine coréenne.,C
129,GW0,T203,La Chambre des conseillers du Japon est plus élevée que la Chambre des représentants.,E
130,GW0,T203,Les Ainu sont le groupe ethnique le plus populaire du Japon.,N
