,annotater_id,table_id,hypothesis,label
0,GW1,T31,Eva Mendes is in die herfs van 1974 gebore.,C
1,GW1,T31,Eva Mendes en Ryan Gosling sal vir die res van hul lewe getroud bly.,N
2,GW1,T31,Eva Mendes se loopbaan in die film is meer as 20 jaar lank.,E
3,GW2,T31,Eva Mendes is in die noorde van die Verenigde State gebore.,C
4,GW2,T31,Eva Mendes werk nog steeds as 'n model.,N
5,GW2,T31,Eva Mendes het twee kinders.,E
6,GW4,T31,Eva Mendes is sedert 2011 met verskillende mense getroud.,C
7,GW4,T31,Eva Mendes is bekend vir haar besigheidsvaardighede.,N
8,GW4,T31,Eva Mendes is gebore op die oostkust van die Verenigde State.,E
9,GW1,T46,Janet Leigh se loopbaan het minder as 55 jaar lank geduur.,C
10,GW1,T46,Janet Leigh het haar hele lewe in Kalifornië geleef.,N
11,GW1,T46,Janet Leigh is in die herfs van 2004 oorlede.,E
12,GW2,T46,Janet Leigh is meer as vier keer getroud.,C
13,GW2,T46,Janet Leigh was 'n enigste kind.,N
14,GW2,T46,“Janet Leigh” was politiek liberale.,E
15,GW4,T46,Janet Leigh is gebore op die oostkust van die VSA.,C
16,GW4,T46,Janet Leigh het hul hele lewe in Kalifornië geleef.,N
17,GW4,T46,Janet Leigh is slegs 'n paar keer getroud.,E
18,GW2,T47,Jodie Whittaker woon in Afrika.,C
19,GW2,T47,Jodie Whittaker het 'n dogter.,N
20,GW2,T47,Jodie Whittaker is al minder as 14 jaar getroud.,E
21,GW1,T47,Jodie Whittaker is in die winter van 1982 gebore.,C
22,GW1,T47,Jodie Whittaker het altyd in Engeland geleef.,N
23,GW1,T47,Jodie Whittaker het 'n aktiewe loopbaan in die optrede vir minder as 20 jaar gehad.,E
24,GW4,T47,Jodie Whittaker het voor die 2000's getroud.,C
25,GW4,T47,Jodie Whittaker het 'n rukkie tyd in die Verenigde State spandeer.,N
26,GW4,T47,Jodie Whittaker het net een man gehad.,E
27,GW4,T53,Florence Foster Jenkins is 'n film wat deur Stephen Frears geproduseer is.,C
28,GW4,T53,Die film Florence Foster Jenkins is heeltemal in die Verenigde Koninkryk gefilm.,N
29,GW4,T53,Die film Florence Foster Jenkins het geld op die kassa verdien.,E
30,GW1,T53,Florence Foster Jenkins het minder as $ 25 miljoen wins op die kassa gemaak.,C
31,GW1,T53,Meer van Florence Foster Jenkins is in Frankryk geskyt as in die Verenigde Koninkryk.,N
32,GW1,T53,Florence Foster Jenkins is vrygestel in die lente en somer van 2016.,E
33,GW2,T53,Die film Florence Foster Jenkins het minder as 3 sterre akteurs gehad.,C
34,GW2,T53,Die film Florence Foster Jenkins is eers in Frankryk uitgebraai.,N
35,GW2,T53,Die film Florence Foster Jenkins het geld verdien.,E
36,GW6,T73,Eugene Kaspersky het 'n netto waarde van meer as 'n miljoen dollar in die lente van 2017 gehad.,C
37,GW6,T73,Natalya Kaspersky het twee kinders.,N
