,annotater_id,table_id,hypothesis,label
0,GW0,T12,Aksel V. Johannesen sirve en el gobierno de las Islas Feroe.,E
1,GW0,T12,Más personas en las Islas Feroe hablan danés que feroés.,N
2,GW0,T12,Las Islas Feroe sólo tienen una lengua oficial.,C
3,GW1,T12,Las Islas Feroe tienen más de una lengua oficial.,E
4,GW1,T12,"Si el Alto Comisionado fallece en las Islas Feroe, entonces el Primer Ministro asumirá ese papel.",N
5,GW1,T12,Las Islas Feroe tienen más de una religión oficial.,C
6,GW4,T12,El monarca de las Islas Feroe es Margarita II,E
7,GW4,T12,Muchas personas en las Islas Feroe hablan Faroe.,N
8,GW4,T12,Las Islas Feroe son lideradas por Lene Moyell Johnansen.,C
9,GW0,T13,“Fearless” tiene más de 50 minutos de duración.,E
10,GW0,T13,Fearless fue el segundo lanzamiento de Taylor Swift.,N
11,GW0,T13,Scott Borchetta produjo en solitario Fearless.,C
12,GW4,T13,El álbum Fearless fue lanzado en el invierno de 2008.,E
13,GW4,T13,Scott Borchetta trabajó directamente en Fearless.,N
14,GW4,T13,El álbum Fearless duró más de una hora.,C
15,GW1,T13,La grabación de Fearless se extendió a lo largo de dos años.,E
16,GW1,T13,Taylor Swift hizo más en el lado de la producción que Nathan Chapman.,N
17,GW1,T13,Fearless fue lanzado en la primavera de 2008.,C
18,GW1,T14,Flatliners es bastante cerca de dos horas de duración.,E
19,GW1,T14,Rick Bieber gastó más dinero en Flatliners que Michael Douglas.,N
20,GW1,T14,Flatliners hizo 50 millones de dólares por encima de su presupuesto en las cajas.,C
21,GW4,T14,Flatliners fue una película que pudo ganar dinero en las cajas.,E
22,GW4,T14,Flatliners fue producido principalmente por Michael Douglas.,N
23,GW4,T14,Flatliners fue una película que duró más de dos horas.,C
24,GW0,T14,Flatliners hizo más del doble de lo que costó hacer en el cajero.,E
25,GW0,T14,Flatliners fue el primer crédito de escritura de Peter Filardi.,N
26,GW0,T14,Flatliners fue lanzado en el invierno de 1990.,C
27,GW1,T17,Bryce Dallas Howard ha estado actuando durante más de 30 años.,E
28,GW1,T17,Bryce Dallas Howard ama a Cheryl Alley más que a Ron Howard.,N
29,GW1,T17,Bryce Dallas Howard nació en el otoño de 1981.,C
30,GW4,T17,Bryce Dallas Howard nació en la costa oeste de Estados Unidos.,E
31,GW4,T17,Bryce Dallas Howard vivió con Ron Howard durante mucho tiempo.,N
32,GW4,T17,Bryce Dallas Howard ha estado trabajando desde 1981.,C
33,GW2,T17,Bryce Dallas Howard ha estado actuando durante más de 20 años.,E
34,GW2,T17,El primer trabajo de Bryce Dallas Howard fue en un comercio de cereales.,N
35,GW2,T17,“Bryce Dallas Howard” tiene tres hijos.,C
36,GW4,T20,Los rappers Flatbush Zombies tuvieron su inicio en la costa este.,E
37,GW4,T20,Los rappers Flatbush Zombies han sido firmados por una gran etiqueta.,N
38,GW4,T20,Los rappers Flatbush Zombies son conocidos por actuar con bandas de rock.,C
39,GW0,T20,Flatbush Zombies han hecho música desde hace más de cinco años.,E
40,GW0,T20,Flatbush Zombies han trabajado con rappers fuera de Nueva York.,N
41,GW0,T20,Flatbush Zombies están firmados a los discos de RCA.,C
42,GW1,T20,"Flatbush Zombies son nombrados, en parte, por la ciudad de la que proceden.",E
43,GW1,T20,Flatbush Zombies prefería hacer música con RecordsWarner sobre The Glorious Dead.,N
44,GW1,T20,Flatbush Zombies han estado activos como banda durante más de 10 años.,C
